screen_seq,record_id,doi,arxiv_id,title,authors,year,venue,venue_tier,lineages,screen_score,abstract_available,decision,reason_code,note,lineage_final,screened_utc,screener
314,doi:10.1109/iros47612.2022.9982122,10.1109/iros47612.2022.9982122,,Whisker-Inspired Tactile Sensing for Contact Localization on Robot Manipulators,Michael A. Lin; Emilio Reyes; Jeannette Bohg; Mark R. Cutkosky,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),R,L6_contact_collision_localization,9.297,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Whisker tactile contact localization; added-hardware sensing, not proprioceptive-only",L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
315,doi:10.1109/tim.2024.3403183,10.1109/tim.2024.3403183,,Metric Learning-Based Few-Shot Adversarial Domain Adaptation: A Cross-Machine Diagnosis Method for Ball Screws of Industrial Robots,Qitong Chen; Liang Chen; Qi Li; Juanjuan Shi; Dong Wang; Changqing Shen,2024,IEEE Transactions on Instrumentation and Measurement,other,L10_cross_robot_few_shot,9.297,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Few-shot adversarial DA for cross-machine SCARA ball-screw diagnosis (TIM24); direct L10 few-shot cross-machine,L10_cross_robot_few_shot,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
316,doi:10.1007/978-3-030-90700-6_25,10.1007/978-3-030-90700-6_25,,Detecting Faults During Automatic Screwdriving: A Dataset and Use Case of Anomaly Detection for Automatic Screwdriving,Błażej Leporowski; Daniella Tola; Casper Hansen; Alexandros Iosifidis,2021,Lecture Notes in Mechanical Engineering,other,L8_public_benchmarks_transfer,9.248,true,INCLUDE_FULLTEXT,DATASET_OR_CODE_PAPER,"Screwdriving fault-detection dataset/use-case (LNME21, AURSAD-adjacent); L8 dataset lineage",L8_public_benchmarks_transfer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
317,doi:10.1145/3681765.3698465,10.1145/3681765.3698465,,Context-aware Trajectory Anomaly Detection,Haoji Hu; Jina Kim; Jinwei Zhou; Sofia Kirsanova; Janghyeon Lee; YaoYi Chiang,2024,Proceedings of the 1st ACM SIGSPATIAL International Workshop on Geospatial Anomaly Detection,other,L5_lie_geometry_equivariant; L7_mtsad_context_ood_sequential,9.248,true,EXCLUDE,NOT_ROBOT_DOMAIN,Urban trajectory AD,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
318,doi:10.1155/2024/5344619,10.1155/2024/5344619,,Funnel-Based Adaptive Neural Fault-Tolerant Control for Nonlinear Systems with Dead-Zone and Actuator Faults: Application to Rigid Robot Manipulator and Inverted Pendulum Systems,Ymnah Alruwaily; Mohamed Kharrat,2024,Complexity,other,L2_manipulator_actuator_sensor_fdi,9.248,true,EXCLUDE,OFF_TOPIC_OTHER,Funnel FTC controller,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
319,doi:10.11591/ijpeds.v13.i3.pp1854-1869,10.11591/ijpeds.v13.i3.pp1854-1869,,Fault-tolerant control with high-order sliding mode for manipulator robot,Khaoula Oulidi Omali; Mohammed Nabil Kabbaj; Mohammed Benbrahim,2022,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,other,L2_manipulator_actuator_sensor_fdi,9.248,true,EXCLUDE,OFF_TOPIC_OTHER,"High-order SM FTC, weak venue",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
320,doi:10.1177/00368504211037771,10.1177/00368504211037771,,Review of wheeled mobile robot collision avoidance under unknown environment,Yong Wang; Xiaoxiao Li; Juan Zhang; Shuai Li; Zhihao Xu; Xuefeng Zhou,2021,Science Progress,other,L4_structured_chain_graph_dynamics,9.228,true,EXCLUDE,WRONG_OBJECT,Wheeled-robot obstacle avoidance review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
321,doi:10.1109/access.2024.3406433,10.1109/access.2024.3406433,,Fault Diagnosis of Industrial Robot Based on Multi-Source Data Fusion and Channel Attention Convolutional Neural Networks,Yiwen Zhang; Zihao Zang; Xinming Zhang; Linsen Song; Zhenglei Yu; Yitian Wang; Yan Gao; Lei Wang,2024,IEEE Access,other,L10_cross_robot_few_shot,9.2,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Multi-source fusion channel-attention CNN robot FD (Access); incremental L2,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
322,doi:10.1007/s10044-021-01053-0,10.1007/s10044-021-01053-0,,A visual tool for monitoring and detecting anomalies in robot performance,Nuño Basurto; Carlos Cambra; Álvaro Herrero,2022,Pattern Analysis and Applications,other,L8_public_benchmarks_transfer,9.168,true,EXCLUDE,OFF_TOPIC_OTHER,Software-performance anomaly monitoring tool,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
323,doi:10.1016/j.actaastro.2021.01.001,10.1016/j.actaastro.2021.01.001,,"Contact detection, isolation and estimation for orbital robots through an observer based on a centroid-joints dynamics",Francesco Cavenago; Alessandro Giordano; Mauro Massari,2021,Acta Astronautica,other,L6_contact_collision_localization,9.168,false,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Observer-based contact D/I/E for orbital (floating-base) robots,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
324,doi:10.14736/kyb-2021-1-0160,10.14736/kyb-2021-1-0160,,Observer-based adaptive sliding mode fault-tolerant control for the underactuated space robot with joint actuator gain faults,Ronghua Lei; Li Chen,2021,Kybernetika,other,L2_manipulator_actuator_sensor_fdi,9.168,true,EXCLUDE,OFF_TOPIC_OTHER,Space-robot FTC observer controller,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
325,doi:10.1109/icra48506.2021.9561162,10.1109/icra48506.2021.9561162,,Proactive Action Visual Residual Reinforcement Learning for Contact-Rich Tasks Using a Torque-Controlled Robot,Yunlei Shi; Zhaopeng Chen; Hongxu Liu; Sebastian Riedel; Chunhui Gao; Qian Feng; Jun Deng; Jianwei Zhang,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),R,L6_contact_collision_localization,9.164,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,RL for contact-rich manipulation,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
326,doi:10.1109/tro.2023.3327811,10.1109/tro.2023.3327811,,A Kinetostatic Model for Concentric Push–Pull Robots,Jake A. Childs; Caleb Rucker,2024,IEEE Transactions on Robotics,R,L6_contact_collision_localization,9.164,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,CPPR kinetostatic modeling,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
327,doi:10.1016/j.rcim.2025.103172,10.1016/j.rcim.2025.103172,,Autonomous robotic screwdriving for high-mix manufacturing,Omey M. Manyar; Rutvik Patel; Satyandra K. Gupta,2026,Robotics and Computer-Integrated Manufacturing,other,L8_public_benchmarks_transfer,9.159,false,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Autonomous screwdriving for high-mix manufacturing (RCIM 2026); AURSAD-domain context,L8_public_benchmarks_transfer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
328,doi:10.1007/s12555-021-0128-7,10.1007/s12555-021-0128-7,,Adaptive Fault-tolerant Control for Mechanical Manipulator Systems with Actuator Fault,Yong Chen; Bin Guo; Yuezhi Liu; Ke Zhang,2022,"International Journal of Control, Automation and Systems",other,L2_manipulator_actuator_sensor_fdi,9.075,false,EXCLUDE,OFF_TOPIC_OTHER,"Adaptive FTC, no abstract",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
329,doi:10.5281/zenodo.5849300,10.5281/zenodo.5849300,,Dataset for: An experimental comparison of anomaly detection methods for collaborative robot manipulators,Søren Goddiksen Graabæk; Emil Vincent Ancker; Andreas Rune Fugl; Anders Lyhne Christensen,2022,Zenodo (CERN European Organization for Nuclear Research),other,L8_public_benchmarks_transfer,9.075,true,INCLUDE_BACKGROUND,DATASET_OR_CODE_PAPER,Zenodo data record for Graabaek UR5e comparison; paper itself carded separately,L8_public_benchmarks_transfer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
330,doi:10.1049/icp.2022.2432,10.1049/icp.2022.2432,,Collision detection system of dual manipulator based on differential evolution algorithm,Y. Cui,2022,IET Conference Proceedings,other,L_killer_precision,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Dual-arm interference planning via differential evolution,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
331,doi:10.1109/cloudnet59005.2023.10490086,10.1109/cloudnet59005.2023.10490086,,Multivariate Time Series Anomaly Detection with Fourier Time Series Transformer,Yufeng Ye; Qichao He; Peng Zhang; Jie Xiao; Zhao Li,2023,2023 IEEE 12th International Conference on Cloud Networking (CloudNet),other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Fourier-transformer MTSAD (CloudNet),L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
332,doi:10.1109/icairc64177.2024.10900310,10.1109/icairc64177.2024.10900310,,An Improved RRT* Algorithm Based on Collision Density Detection for Manipulator Path Planning,Fangyao Lu; Xi Luo; Chang Liu; Baiqiang Zhu,2024,"2024 4th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)",other,L_killer_precision,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,RRT* planning variant,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
333,doi:10.1109/iciea58696.2023.10241385,10.1109/iciea58696.2023.10241385,,Real-time Collision Detection Algorithm for Thrust-vector Regulating Mechanism of Manipulator,Chu Xiaoyu; Zhang Qiang; Wen Wen; Wei Chaoran; Li Xiaohui; Zhou Yuanzi,2023,2023 IEEE 18th Conference on Industrial Electronics and Applications (ICIEA),other,L_killer_precision,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Geometric collision checking for thruster mechanism,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
334,doi:10.1109/sii58957.2024.10417448,10.1109/sii58957.2024.10417448,,Sensor Anomaly Detection for Biped Robot Using the Dynamic Equation of a Robotic System,Antoine Alaverdov; Fumio Kanehiro,2024,2024 IEEE/SICE International Symposium on System Integration (SII),other,L_killer_precision,9.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Dynamics-equation-based sensor AD for biped; physics-residual concept on another platform,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
335,doi:10.1109/tro.2021.3133137,10.1109/tro.2021.3133137,,Human-in-the-Loop Optimization of Exoskeleton Assistance Via Online Simulation of Metabolic Cost,Daniel Gordon; Christopher McGreavy; Andreas Christou; Sethu Vijayakumar,2022,IEEE Transactions on Robotics,R,L6_contact_collision_localization,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Exoskeleton HIL optimization,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
336,doi:10.1109/tro.2022.3231360,10.1109/tro.2022.3231360,,Soft Robots Modeling: A Structured Overview,Costanza Armanini; Frédéric Boyer; Anup Teejo Mathew; Christian Duriez; Federico Renda,2023,IEEE Transactions on Robotics,R,L4_structured_chain_graph_dynamics,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Soft-robot modeling overview,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
337,doi:10.1177/02783649231201196,10.1177/02783649231201196,,Dynamic movement primitives in robotics: A tutorial survey,Matteo Saveriano; Fares J. Abu‐Dakka; Aljaž Kramberger; Luka Peternel,2023,The International Journal of Robotics Research,R,L5_lie_geometry_equivariant,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,DMP tutorial,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
338,doi:10.1504/ijhm.2023.10056146,10.1504/ijhm.2023.10056146,,Model adaptive collision detection for flexible joint manipulator based on state observer,Sun Yongjun; Chris Gerada; Liu Yiwei; Cui Shipeng,2023,International Journal of Hydromechatronics,other,L_killer_precision,9.0,true,EXCLUDE,DUPLICATE_VARIANT,Duplicate DOI of ijhm.2023.132298 (same paper),,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
339,doi:10.21275/sr23204085405,10.21275/sr23204085405,,Neural Network Nonlinearity Compensation for a Mobile Manipulator,Jun Oh Jang,2023,International Journal of Science and Research (IJSR),other,L4_structured_chain_graph_dynamics; L5_lie_geometry_equivariant,9.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,NN compensator control,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
340,doi:10.2139/ssrn.4346384,10.2139/ssrn.4346384,,Hfn:Heterogeneous Feature Network for Multivariate Time Series Anomaly Detection,Jun Zhan; Chengkun Wu; Canqun Yang; Qiucheng Miao; Xiandong Ma,2023,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, heterogeneous feature MTSAD",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
341,doi:10.2139/ssrn.4538474,10.2139/ssrn.4538474,,Contrastive Learning for Multivariate Time Series Anomaly Detection,Juan Li; Yiduo Wang,2023,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, contrastive MTSAD",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
342,doi:10.2139/ssrn.4576627,10.2139/ssrn.4576627,,A Transformer Autoencoder with Hidden Layer Extension for Multivariate Time Series Anomaly Detection,xiaoxia zhang; yi chen; feng hu; Guoyin Wang,2023,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, transformer AE MTSAD",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
343,doi:10.2139/ssrn.4668703,10.2139/ssrn.4668703,,Automatic Model Selection Method for Multivariate Time Series Anomaly Detection Based on Data Features,Gai Tiantian; Xiaoyong Zhao; Min Huang,2023,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, AD model selection",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
344,doi:10.2139/ssrn.4743831,10.2139/ssrn.4743831,,Translated Temporal Component-Enhanced Attention for Multivariate Time-Series Anomaly Detection,MinJi Seo; MyungHo Kim,2024,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, temporal attention MTSAD",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
345,doi:10.2139/ssrn.4914635,10.2139/ssrn.4914635,,A Scalable Digital Asset Framework for Distributed Robot System's Anomaly Detection Based on Hybrid Convolutional Autoencoder,ShiJie Wang; JianFeng Tao; Qincheng Jiang; Wei Chen; Chengjin QIN; Chengliang LIU,2024,,other,L_killer_precision,9.0,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, distributed robot AD framework",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
346,doi:10.2139/ssrn.4949819,10.2139/ssrn.4949819,,Anomaly Detection in Broadband Networks: Using Normalizing Flows for Multivariate Time Series,Tobias Engelhardt Rasmussen; Facundu  Esteban Castellá Algán; Andreas Baum,2024,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,false,EXCLUDE,NOT_ROBOT_DOMAIN,Broadband-network flow AD stub,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
347,doi:10.5220/0012692100003705,10.5220/0012692100003705,,UoCAD: An Unsupervised Online Contextual Anomaly Detection Approach for Multivariate Time Series from Smart Homes,Aafan Toor; Jia-Chun Lin; Ming-Chang Lee; Ernst Gran,2024,"Proceedings of the 9th International Conference on Internet of Things, Big Data and Security",other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,true,EXCLUDE,NOT_ROBOT_DOMAIN,Smart-home contextual AD,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
348,doi:10.55041/ijsrem25385,10.55041/ijsrem25385,,Multi-Sensor Fusion for Proactive Anomaly Detection in Robot Navigation,CHAITHRASHREE A,2023,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,other,L_killer_precision,9.0,true,EXCLUDE,OFF_TOPIC_OTHER,Derivative navigation-AD text in questionable journal,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
349,tay:efficient pattern based anomaly detection in a network of multivariate devices|feremans|2023,,2305.05538v1,Efficient pattern-based anomaly detection in a network of multivariate devices,Len Feremans; Boris Cule; Bart Goethals,2023,arXiv,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,9.0,true,EXCLUDE,NOT_ROBOT_DOMAIN,Device-network telemetry AD,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
350,doi:10.1109/tro.2025.3626664,10.1109/tro.2025.3626664,,Disturbance Observer-Based Model Predictive Control for Cable-Driven Parallel Robots,Xinyu Gao; Weiwei Shang; Bin Zhang,2025,IEEE Transactions on Robotics,R,L3_learned_momentum_observer,8.966,false,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,DOB-MPC control for cable robots,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
351,doi:10.1109/lra.2023.3329620,10.1109/lra.2023.3329620,,Physics-Informed Neural Network for Model Prediction and Dynamics Parameter Identification of Collaborative Robot Joints,Xingyu Yang; Yixiong Du; Leihui Li; Zhengxue Zhou; Xuping Zhang,2023,IEEE Robotics and Automation Letters,R,L5_lie_geometry_equivariant,8.904,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,PINN dynamics prediction + parameter ID for cobot joints with harmonic drives (RAL23); structured dynamics learning underpinning residual FDI,L4_structured_chain_graph_dynamics,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
352,doi:10.1109/tro.2023.3339543,10.1109/tro.2023.3339543,,Active Learning of Discrete-Time Dynamics for Uncertainty-Aware Model Predictive Control,Alessandro Saviolo; Jonathan Frey; Abhishek Rathod; Moritz Diehl; Giuseppe Loianno,2024,IEEE Transactions on Robotics,R,L3_learned_momentum_observer,8.882,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Active self-supervised learning of dynamics for uncertainty-aware MPC (T-RO 24); active dynamics probing under condition change — L11,L11_active_diagnosis,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
353,doi:10.3390/electronics14071401,10.3390/electronics14071401,,TiTAD: Time-Invariant Transformer for Multivariate Time Series Anomaly Detection,Yuehan Liu; Wenhao Wang; Yunpeng Wu,2025,Electronics,MDPI,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,8.882,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,TiTAD transformer MTSAD (Electronics),L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
354,doi:10.1109/iros55552.2023.10342345,10.1109/iros55552.2023.10342345,2308.09650v1,Collision Isolation and Identification Using Proprioceptive Sensing for Parallel Robots to Enable Human-Robot Collaboration,Aran Mohammad; Moritz Schappler; Tobias Ortmaier,2023,arXiv (Cornell University),other,L6_contact_collision_localization,8.832,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,"Proprioceptive collision isolation+identification on real parallel robot (IROS23, Hannover line); direct L6",L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
355,doi:10.1109/sii58957.2024.10417333,10.1109/sii58957.2024.10417333,,Real- Time Failure/Anomaly Prediction for Robot Motion Learning Based on Model Uncertainty Prediction,Hideyuki Ichiwara; Hiroshi Ito; Kenjiro Yamamoto,2024,2024 IEEE/SICE International Symposium on System Integration (SII),other,L3_learned_momentum_observer,8.832,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Model-uncertainty-based real-time failure/anomaly prediction for learned motion policies (SII24); policy-monitoring angle,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
356,doi:10.1177/02783649251342823,10.1177/02783649251342823,2505.03044v1,A modal-space formulation for momentum observer contact estimation and effects of uncertainty for continuum robots,Garrison LH Johnston; Neel Shihora; Nabil Simaan,2025,The International Journal of Robotics Research,R,L3_learned_momentum_observer,8.832,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,IJRR25 modal-space momentum-observer contact estimation for continuum robots with uncertainty analysis; MOB-generalization frontier,L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
357,doi:10.48550/arxiv.2402.02980,10.48550/arxiv.2402.02980,,"Review on Fault Diagnosis and Fault-Tolerant Control Scheme for Robotic Manipulators: Recent Advances in AI, Machine Learning, and Digital Twin",Md Muzakkir Quamar; Ali Nasir,2024,arXiv (Cornell University),other,L2_manipulator_actuator_sensor_fdi,8.832,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,2024 review of robot manipulator FD/FTC incl. AI/ML/digital twin; L2 landscape verification,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
358,doi:10.3390/s22051917,10.3390/s22051917,,Current Only-Based Fault Diagnosis Method for Industrial Robot Control Cables,Heonkook Kim; Hojin Lee; Sang Woo Kim,2022,Sensors,MDPI,L_killer_precision,8.827,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,Current-only novelty-detection FD for robot control cables (Sensors),L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
359,doi:10.32604/iasc.2023.029210,10.32604/iasc.2023.029210,,Fault Diagnosis in Robot Manipulators Using SVM and KNN,D. Maincer; Youcef Benmahamed; M. Mansour; Mosleh M. Alharthi; Sherif S. M. Ghonein,2022,Intelligent Automation & Soft Computing,other,L4_structured_chain_graph_dynamics,8.797,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"SVM/KNN sensor-fault classification on manipulator; classical baseline reference, weak venue",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
360,doi:10.1109/tii.2025.3538135,10.1109/tii.2025.3538135,,CoUDA: Continual Unsupervised Domain Adaptation for Industrial Fault Diagnosis Under Dynamic Working Conditions,Bojian Chen; Xinmin Zhang; Changqing Shen; Qi Li; Zhihuan Song,2025,IEEE Transactions on Industrial Informatics,C,L10_cross_robot_few_shot,8.743,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,CoUDA continual unsupervised domain adaptation for FD under dynamic working conditions (TII25); L10 condition-shift frontier,L10_cross_robot_few_shot,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
361,doi:10.3390/aerospace10090778,10.3390/aerospace10090778,,Space Manipulator Collision Avoidance Using a Deep Reinforcement Learning Control,James Blaise; Michael C. F. Bazzocchi,2023,Aerospace,MDPI,L6_contact_collision_localization; L_recent_2025_2026,8.7,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,DRL collision avoidance for space manipulator,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
362,doi:10.1109/access.2024.3380842,10.1109/access.2024.3380842,,Research on Fault Diagnosis of Robot Arm With Dynamic Simulation and Domain Adaptation,Gang Wang; Ting Zhang,2024,IEEE Access,other,L10_cross_robot_few_shot,8.668,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Sim-to-real domain adaptation for robot-arm FD from dynamic simulation (Access24); L10 sim2real transfer,L10_cross_robot_few_shot,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
363,doi:10.1109/access.2025.3620386,10.1109/access.2025.3620386,,Few-Shot Fault Diagnosis for Industrial Robot Transmission Systems via a Prototypical Time-Frequency Mixer,Danyi Wang; Tianyi Wang; Xiaoya Wang,2025,IEEE Access,other,L10_cross_robot_few_shot,8.659,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Prototypical time-frequency mixer few-shot FD for robot transmissions (Access),L10_cross_robot_few_shot,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
364,doi:10.1109/lra.2025.3550845,10.1109/lra.2025.3550845,,Multi-Contact Inertial Parameters Estimation and Localization in Legged Robots,Sergi Martinez; Robert Griffin; Carlos Mastalli,2025,IEEE Robotics and Automation Letters,R,L6_contact_collision_localization,8.659,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Multi-contact inertial estimation/localization on legged robots (RAL25),L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
365,doi:10.1016/j.automatica.2022.110294,10.1016/j.automatica.2022.110294,,Stable robot manipulator parameter identification: A closed-loop input error approach,Adolfo Perrusquía; Ruben Garrido; Wen Yu,2022,Automatica,C,L2_manipulator_actuator_sensor_fdi,8.616,false,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Closed-loop input-error manipulator parameter identification (Automatica); healthy-dynamics grounding,L4_structured_chain_graph_dynamics,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
366,doi:10.1109/lra.2024.3371254,10.1109/lra.2024.3371254,,Graph Neural Network for Decentralized Multi-Robot Goal Assignment,Manohari Goarin; Giuseppe Loianno,2024,IEEE Robotics and Automation Letters,R,L4_structured_chain_graph_dynamics,8.598,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,GNN goal assignment,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
367,doi:10.3390/s23010523,10.3390/s23010523,,A Self-Collision Detection Algorithm of a Dual-Manipulator System Based on GJK and Deep Learning,Di Wu; Zhi Yu; Alimasi Adili; Fanchen Zhao,2023,Sensors,MDPI,L_killer_precision,8.583,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,GJK+DL geometric self-collision checking,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
368,doi:10.1109/icra48506.2021.9562058,10.1109/icra48506.2021.9562058,,Contact Localization for Robot Arms in Motion without Torque Sensing,Jacky Liang; Oliver Kroemer,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),R,L6_contact_collision_localization,8.575,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,Contact localization for arms in motion without torque sensing (ICRA21); proprioceptive-only L6 line,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
369,doi:10.1109/lra.2023.3284371,10.1109/lra.2023.3284371,,Aim-Aware Collision Monitoring: Discriminating Between Expected and Unexpected Post-Impact Behaviors,Benn Proper; Alexander Kurdas; Saeed Abdolshah; Sami Haddadin; Alessandro Saccon,2023,IEEE Robotics and Automation Letters,R,L3_learned_momentum_observer,8.575,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,Aim-aware monitoring discriminating expected vs unexpected post-impact behavior (RAL23); the intended-contact-vs-anomaly discrimination question,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
